district
Kawartha Pine Ridge District School Board
York Catholic District School Board
Simcoe County District School Board 
York Region District School Board 
Toronto District School Board 
Toronto Catholic District School Board 
Peel District School Board 
Halton District School Board 
Halton Catholic District School Board 
Durham Catholic District School Board 
Dufferin-Peel Catholic District School Board 
Conseil des écoles catholiques du Centre-Est 
Conseil des écoles publiques de l’Est de l’Ontario 
Conseil scolaire de district catholique de l’Est ontarien 
Limestone District School Board 
Ottawa-Carleton District School Board 
Upper Canada District School Board 
Renfrew County District School Board 
Ottawa Catholic School Board 
Catholic District School Board of Eastern Ontario 
Algonquin and Lakeshore Catholic District School Board 
Near North District School Board 
Hastings and Prince Edward District School Board 
Lakehead Public Schools
Sudbury Catholic District School Board
Rainbow District School Board 
Waterloo Region District School Board 
Waterloo Catholic District School Board 
Upper Grand District School Board 
Niagara Catholic District School Board 
Hamilton-Wentworth District School Board 
District School Board of Niagara 
Conseil scolaire Viamonde 
Thames Valley District School Board 
Lambton Kent District School Board 
Greater Essex County District School Board 
Avon Maitland District School Board 
